model,iteration,total_configs,total_failures,Generation failed,Incomplete response,Ollama crash,Parse failed,Timeout,Unknown
DeepSeek-R1,iter0,1720,426,40,382,0,0,0,4
DeepSeek-R1,iter1,1431,255,36,215,0,0,0,4
DeepSeek-R1,iter2,1284,251,45,206,0,0,0,0
Gemma3,iter0,1585,73,71,0,0,0,0,2
Gemma3,iter1,1225,76,72,0,0,0,0,4
Gemma3,iter2,1098,74,74,0,0,0,0,0
LLaMA3.1,iter0,1750,636,70,0,561,0,0,5
LLaMA3.1,iter1,1484,602,58,0,532,0,6,6
LLaMA3.1,iter2,1368,603,54,0,532,0,12,5
Qwen3,iter0,1699,553,545,0,0,1,0,7
Qwen3,iter1,1315,211,204,0,0,3,0,4
Qwen3,iter2,1084,195,185,0,0,4,0,6
